id,safra,y,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50,VAR_51,VAR_52,VAR_53,VAR_54,VAR_55,VAR_56,VAR_57,VAR_58,VAR_59,VAR_60,VAR_61,VAR_62,VAR_63,VAR_64,VAR_65,VAR_66,VAR_67,VAR_68,VAR_69,VAR_70,VAR_71,VAR_72,VAR_73,VAR_74,VAR_75,VAR_76,VAR_77,VAR_78
12,201408,0,0.0,0.0,0.0,0.0,,2941.0,38.3,57.44,1000.0,29.0,33.83,,75.45,,42.41,,3000.0,24.0,5.0,12,169.0,12.0,7.49,,0.0,,,0.0,,2068.79,,0.133832912727673,7.0,372.14,236.81,,,268.1,414.0,0.0,,,,0.0,488.47,,,,,,,224.95,1000.0,,,,45,,177.13,-0.0304781166421273,,,,1,26.89,4.0,,,29.99,,,-1.0,,,,228.86,0.0,
14,201401,0,0.0,0.0,0.0,0.0,42.15,1903.0,,,750.0,428.0,,352.0,54.97,634.0,,50.0,1200.0,13.0,14.0,12,283.0,15.0,115.95,295.05,11.0,411.0,,12.0,18.0,750.0,30.0,0.133832912727673,1.0,,,,18.0,,108.0,11.0,0.0,18.0,18.0,12.0,109.95,18.0,139.98,18.0,5.91,98.37,397.0,,1500.0,1000.0,98.37,98.37,52,209.0,199.96,0.156301087833759,,,98.37,0,,14.0,-42.0,17.0,431.87,2.32,0.0,431.0,0.0,0.0,98.37,187.87,0.0,0.0
16,201402,1,167.0,6.0,2.0,2.0,,1542.0,,110.08,1500.0,345.0,10.61,,,1496.0,,134.0,,24.0,5.0,12,284.0,6.0,67.85,,0.0,826.0,377.0,5.0,,1500.0,10.0,0.133832912727673,1.0,400.83,74.27,,,,,10.0,,244.0,,10.0,,244.0,0.0,,,,751.0,,3939.54,469.77,,,42,,144.0,-0.0737564789495467,,836.0,,0,376.95,8.0,-13.0,,542.8,,1.0,-21.0,0.0,1.0,,590.43,196.97,1.0
18,201404,0,102.0,6.0,1.0,1.0,60.93,407.0,,63.88,600.0,,,,,,,,2067.17,,0.0,12,,0.0,,468.82,0.0,,250.0,0.0,,600.0,,0.090634138151029,0.0,191.64,,,,,,0.0,,,,0.0,,,,,,,,,600.0,600.0,,,45,307.0,,-0.0304781166421273,,,,1,430.6,,,,,,,66.0,,,,,,
19,201407,1,0.0,0.0,0.0,0.0,,203.0,35.32,25.98,1985.5,,32.11,,,,,,,,0.0,12,,0.0,,,0.0,,,0.0,,1985.5,,0.0571981886428283,0.0,25.98,224.77,,,105.98,,0.0,,,,0.0,,,,,,,,,1985.5,1985.5,,,51,,,0.156301087833759,,,,1,166.82,,,,,,,1.0,,,,,,
21,201406,0,15.0,0.0,0.0,0.0,,101.0,,,600.0,,74.17,,,86.0,,,,,0.0,12,,0.0,,,0.0,57.0,,0.0,-2.0,1600.0,,0.0467093416827228,0.0,,593.36,,-2.0,,,0.0,,-2.0,,0.0,,-2.0,,-2.0,0.0,,86.0,,1100.0,1100.0,,113.2,27,,,-0.411786729965823,,,,1,0.0,,-34.0,,,,0.0,101.0,0.0,0.0,,,,0.0
22,201402,1,0.0,0.0,0.0,0.0,37.55,410.0,2.97,,2500.0,,,,,367.0,,,5582.3,,0.0,12,,0.0,,262.85,0.0,4.0,,0.0,1.0,5000.0,0.0,0.090634138151029,0.0,,,0.0,0.0,2.97,,0.0,0.0,1.0,,0.0,,1.0,,0.0,0.0,289.66,367.0,,4041.15,1541.15,289.66,289.66,68,178.0,,0.648196909605187,11.58,,289.66,1,4800.0,,-6.0,0.0,,,0.0,215.0,0.0,0.0,579.32,,,0.0
23,201404,1,0.0,0.0,0.0,0.0,,3418.0,,,3000.0,127.0,,,,583.0,,102.0,1006.06,92.0,41.0,12,2587.0,51.0,31.98,,0.0,216.0,,0.0,2.0,3000.0,0.0,0.133832912727673,10.0,,,0.0,1.0,,,3.0,,3.0,,4.0,,7.0,551.7,,,,583.0,,6018.18,1006.06,193.9,,44,,,-0.059298901120992,,2090.0,193.9,0,,4.0,-3.0,,127.93,7.76,0.0,864.0,0.0,0.0,,,0.0,0.0
24,201401,0,175.0,6.0,1.0,1.0,,210.0,43.99,111.95,1000.0,,,,,,,,,,0.0,12,,0.0,,,0.0,,,0.0,,1000.0,,0.0571981886428283,0.0,239.9,,,,131.97,,0.0,,,,0.0,,,,,,,,,2000.0,,,,45,,,-0.0304781166421273,,,,1,892.16,,,,,,,37.0,,,,,,
25,201401,0,0.0,0.0,0.0,0.0,27.99,628.0,,,2000.0,,32.28,,32.09,320.0,,,2000.0,,0.0,12,,0.0,,139.98,0.0,0.0,,0.0,17.0,2000.0,0.0,0.133832912727673,0.0,,258.24,0.0,17.0,,158.0,0.0,4.79,17.0,,0.0,172.68,17.0,,17.0,14.37,239.63,320.0,,4000.0,3000.0,239.63,239.63,67,139.0,25.09,0.648196909605187,4.79,,239.63,1,1218.96,,,3.0,,,0.0,110.0,0.0,0.0,718.89,33.14,,0.0
26,201402,1,97.0,1.0,1.0,1.0,84.76,275.0,,58.44,1218.23,,82.41,,,,,,1218.23,,0.0,12,,0.0,,593.32,0.0,,,0.0,,1218.23,,0.090634138151029,0.0,289.12,411.97,,,,,0.0,,,,0.0,,,,,,,,,2436.46,,,,65,395.0,,0.534878115446101,,,,1,719.13,,,,,,,-28.0,,,,,,
27,201401,0,0.0,0.0,0.0,0.0,39.09,887.0,,,500.0,262.0,,,38.49,623.0,,0.0,1848.58,,0.0,5,,0.0,56.73,195.45,0.0,273.0,,0.0,-1.0,1800.0,0.0,0.133832912727673,0.0,,,0.0,-1.0,,192.0,5.0,0.0,-1.0,,6.0,192.47,-1.0,0.0,-1.0,0.0,205.7,91.0,,3148.58,2245.74,189.41,166.813333333333,55,195.0,327.28,0.219380082347677,0.0,,140.54,0,,7.0,-75.0,-1.0,397.11,0.0,0.0,386.0,0.0,0.0,617.1,106.74,134.49,0.0
28,201404,0,41.0,0.0,0.0,1.0,74.94,626.0,,48.29,1200.0,,36.73,,102.64,,46.96,,,,0.0,12,,0.0,,389.59,0.0,,538.0,0.0,,1200.0,,0.133832912727673,0.0,386.32,257.11,,,,512.0,0.0,,,,0.0,513.25,,,,,,,184.9,1200.0,1200.0,,,56,276.0,79.37,0.242879678877368,,,,1,0.0,,,,,,,-16.0,,,,391.66,,
29,201406,0,0.0,0.0,0.0,0.0,,1302.0,,,2000.0,294.0,,295.0,59.99,838.0,,0.0,3560.0,,0.0,8,,0.0,133.92,,6.0,741.0,,7.0,1.0,,0.0,0.133832912727673,0.0,,,,,,59.0,6.0,,1.0,8.0,9.0,59.99,6.0,0.0,,,,510.0,,2640.0,1550.0,,,26,,166.92,-0.411786729965823,6.74,,337.02,0,,8.0,-10.0,,297.87,0.0,0.0,566.0,0.0,0.0,,175.65,0.0,0.0
30,201405,0,21.0,0.0,0.0,0.0,92.43,4926.0,56.97,59.58,1000.0,1172.0,63.01,751.0,124.72,674.0,23.99,54.0,,41.0,19.0,12,789.0,35.0,326.75,469.58,9.0,375.0,,10.0,,1000.0,36.0,0.133832912727673,16.0,213.9,294.9,,,137.95,393.0,12.0,,1.0,35.0,12.0,398.83,2.0,509.91,,,,674.0,71.97,1700.0,2400.0,,,46,422.0,488.15,-0.016208722718011,,,,0,251.79,37.0,-12.0,,1178.47,2.56,0.0,41.0,0.0,0.0,,697.33,0.0,0.0
33,201407,0,123.0,1.0,0.0,0.0,250.81,3975.0,93.97,177.6,2759.03,1287.0,97.97,1319.0,158.93,,251.6,130.0,,87.0,39.0,12,2897.0,71.0,451.83,735.76,6.0,,907.0,12.0,,2759.03,,0.133832912727673,32.0,269.27,195.96,,,147.96,359.0,6.0,,,23.0,11.0,361.85,,509.85,,,,,449.89,2759.03,2759.03,,,46,732.0,1422.43,-0.016208722718011,,418.0,,0,5736.22,22.0,,,1466.85,,,4.0,,,,2779.81,173.78,
34,201408,0,25.0,0.0,0.0,0.0,45.82,1091.0,82.65,91.96,1000.0,682.0,56.19,105.0,87.77,,47.9,,,,0.0,12,,0.0,148.59,245.8,0.0,,627.0,0.0,,1846.82,,0.133832912727673,0.0,91.96,223.86,,,578.55,217.0,8.0,,,7.0,11.0,266.16,,,,,,,217.03,1000.0,1000.0,,,36,174.0,378.07,-0.231735369185606,,,,0,430.68,51.0,,,804.56,,,12.0,,,,461.27,116.53,
35,201407,0,10.0,0.0,0.0,0.0,,309.0,22.97,28.26,1735.39,,3.79,,,,57.45,,,,0.0,12,,0.0,,,0.0,,240.0,0.0,,1735.39,,0.090634138151029,0.0,197.82,3.79,,,109.33,,0.0,,,,0.0,,,,,,,,411.06,1735.39,1735.39,,,32,,,-0.354107585360257,,,,1,945.78,,,,,,,-42.0,,,,,,
37,201403,0,4.0,0.0,0.0,0.0,185.28,580.0,29.69,,692.96,,43.31,,37.28,252.0,,,,,0.0,12,,0.0,,960.25,0.0,1.0,348.0,0.0,9.0,692.96,0.0,0.133832912727673,0.0,,109.97,7.32,9.0,59.38,111.0,0.0,7.32,9.0,,0.0,142.01,9.0,,9.0,7.32,121.9,252.0,,1202.14,1202.14,121.9,121.9,25,837.0,0.0,-0.411786729965823,,,,1,1545.59,,,9.0,,,0.0,109.0,0.0,0.0,365.7,30.68,,0.0
38,201405,0,0.0,0.0,0.0,0.0,30.68,2041.0,,,1000.0,294.0,,75.0,41.62,291.0,,91.0,2000.0,21.0,18.0,12,431.0,20.0,92.92,214.76,1.0,0.0,,2.0,-7.0,1000.0,8.0,0.133832912727673,2.0,,,0.0,-7.0,,217.0,2.0,0.0,-7.0,1.0,3.0,332.96,-7.0,400.0,-7.0,0.0,175.7,291.0,,2000.0,1000.0,175.7,175.7,55,143.0,366.86,0.219380082347677,,836.0,,1,,23.0,-95.0,-7.0,400.49,,0.0,393.0,0.0,0.0,702.8,0.0,103.34,0.0
39,201401,1,170.0,3.0,1.0,1.0,,2653.0,,23.99,1433.11,,25.99,,,146.0,,,1433.11,13.0,16.0,12,399.0,19.0,,,0.0,21.0,,0.0,31.0,1433.11,0.0,0.133832912727673,3.0,119.98,51.98,,31.0,,,0.0,3.85,31.0,,0.0,,31.0,,31.0,3.85,192.74,146.0,,3224.25,358.03,,192.74,32,,,-0.354107585360257,,,,1,1534.01,,,6.0,,,1.0,6.0,1.0,1.0,192.74,,,1.0
40,201408,1,4.0,0.0,0.0,0.0,118.37,878.0,8.96,172.97,1200.0,683.0,127.01,,77.63,878.0,101.65,0.0,6000.0,,0.0,12,,0.0,160.36,828.59,0.0,514.0,666.0,0.0,14.0,2400.0,0.0,0.133832912727673,0.0,1210.79,779.06,9.86,14.0,8.96,373.0,4.0,0.0,14.0,,4.0,552.66,71.0,0.0,0.0,,246.45,426.0,711.55,2608.04,1552.01,246.45,246.45,46,649.0,519.86,-0.016208722718011,14.79,,246.45,1,411.49,23.0,-459.0,0.0,763.83,0.0,0.0,-48.0,0.0,1.0,492.9,292.45,77.31,1.0
42,201401,0,0.0,0.0,0.0,0.0,95.96,4414.0,73.16,12.38,1000.0,1282.0,21.99,574.0,103.94,,,235.0,1000.0,216.0,86.0,12,3101.0,89.0,295.19,479.82,12.0,,,12.0,,1000.0,45.0,0.133832912727673,3.0,61.91,109.97,,,365.86,516.0,11.0,,,35.0,12.0,519.77,,0.0,,,,,,2000.0,1000.0,,,69,477.0,722.08,0.721630021341369,,836.0,,0,8862.28,42.0,,,1291.18,,,70.0,,,,681.45,0.0,
43,201407,1,102.0,1.0,1.0,1.0,,1622.0,34.97,36.38,2000.0,,24.78,110.0,,,17.99,42.0,,9.0,5.0,12,127.0,6.0,,,6.0,,,7.0,,2000.0,,0.133832912727673,1.0,181.93,123.91,,,69.95,,0.0,,,5.0,0.0,,,0.0,,,,,89.98,2000.0,2000.0,,,37,,,-0.231735369185606,,,,1,550.51,,,,,,,51.0,,,,,,
44,201401,1,154.0,3.0,1.0,1.0,37.5,495.0,,,200.0,,33.91,,26.99,,67.62,,200.0,,0.0,6,,0.0,,225.09,0.0,,,0.0,,200.0,,0.090634138151029,0.0,,237.37,,,,127.0,0.0,,,,0.0,188.93,,,,,,,270.48,400.0,,,,32,181.0,,-0.354107585360257,,,,1,459.17,,,,,,,69.0,,,,,,
45,201405,0,0.0,0.0,0.0,0.0,139.96,1793.0,15.12,29.16,700.0,740.0,68.55,239.0,58.2,1249.0,66.96,285.0,,37.0,10.0,6,234.0,11.0,161.42,671.91,10.0,1116.0,,12.0,,700.0,44.0,0.133832912727673,1.0,116.7,262.89,,,30.25,224.0,12.0,,,31.0,12.0,229.86,-3.0,809.49,,,,850.0,440.78,4208.39,1519.54,,,35,611.0,408.5,-0.30845333657335,,836.0,,0,575.58,75.0,-25.0,,754.79,,0.0,27.0,0.0,0.0,,372.25,0.0,0.0
46,201402,0,48.0,0.0,0.0,1.0,59.96,2157.0,,,1000.0,140.0,,,139.66,502.0,70.29,,2400.0,16.0,9.0,10,269.0,16.0,67.62,99.94,0.0,196.0,134.0,0.0,9.0,1000.0,0.0,0.133832912727673,7.0,,,9.81,8.0,,388.0,1.0,,9.0,,3.0,392.81,9.0,,,,,502.0,312.09,3600.0,,163.31,,41,97.0,263.98,-0.133343746407103,6.54,,163.31,1,709.7,6.0,-9.0,,142.91,13.08,0.0,254.0,0.0,0.0,,290.57,0.0,0.0
50,201406,0,0.0,0.0,0.0,0.0,,1840.0,70.98,,1000.0,241.0,,,,,,7.0,1593.0,1.0,1.0,12,53.0,2.0,46.52,,0.0,,,0.0,,1000.0,,0.133832912727673,1.0,,,,,141.96,,2.0,,,,3.0,,,0.0,,,,,,1000.0,1000.0,,,30,,279.71,-0.411786729965823,,,,1,,8.0,,,372.16,,,237.0,,,,49.21,130.27,
51,201406,0,26.0,0.0,0.0,0.0,140.33,1016.0,,46.4,1692.0,712.0,93.56,,127.92,271.0,50.13,,,,0.0,10,,0.0,203.49,653.86,0.0,148.0,230.0,0.0,10.0,4116.0,,0.133832912727673,0.0,232.0,291.88,6.05,10.0,,461.0,8.0,6.05,10.0,,9.0,463.7,10.0,,2.0,,302.7,271.0,217.36,3292.0,1692.0,302.7,,42,650.0,361.63,-0.0737564789495467,,,,0,164.36,35.0,-1.0,2.0,719.13,,0.0,49.0,0.0,0.0,302.7,653.48,0.0,0.0
52,201405,0,0.0,0.0,0.0,0.0,104.1,875.0,,50.0,2300.0,42.0,53.93,,39.18,369.0,,,4000.0,,0.0,12,,0.0,42.5,104.1,0.0,43.0,,0.0,79.0,2300.0,0.0,0.133832912727673,0.0,50.0,377.51,20.61,79.0,,202.0,1.0,20.61,79.0,,2.0,313.44,79.0,,79.0,27.48,343.67,369.0,,6300.0,10600.0,343.67,343.67,57,104.0,43.53,0.319424920164188,13.74,,343.67,1,50.03,1.0,-620.0,79.0,42.5,,4.0,32.0,4.0,4.0,1031.01,87.06,0.0,4.0
53,201401,1,179.0,6.0,1.0,2.0,105.69,2944.0,29.33,66.52,1300.0,137.0,23.36,,67.25,368.0,21.8,,2300.0,45.0,17.0,10,563.0,21.0,37.51,489.02,0.0,24.0,,0.0,58.0,1300.0,0.0,0.133832912727673,4.0,190.93,116.83,6.6,58.0,71.0,299.0,1.0,13.2,58.0,,1.0,318.98,58.0,,58.0,17.6,109.75,368.0,109.0,3100.0,,109.75,109.75,31,484.0,227.72,-0.411786729965823,2.2,,109.75,1,557.43,8.0,-5.0,58.0,138.94,,9.0,-43.0,9.0,9.0,658.5,673.6,0.0,9.0
54,201405,0,21.0,0.0,0.0,0.0,121.81,1378.0,50.91,47.97,1000.0,,,,76.63,424.0,38.7,42.0,2500.0,7.0,0.0,4,235.0,0.0,,468.99,4.0,333.0,278.0,9.0,19.0,2000.0,21.0,0.133832912727673,0.0,67.97,,0.0,19.0,299.65,228.0,0.0,14.08,19.0,,0.0,229.9,19.0,0.0,19.0,7.04,352.19,203.0,77.4,5500.0,2500.0,235.31,352.19,46,370.0,0.0,-0.016208722718011,0.0,418.0,239.54,1,625.86,,-24.0,13.0,,4.96,0.0,13.0,0.0,0.0,704.38,81.44,,0.0
55,201409,1,0.0,0.0,0.0,0.0,115.11,2692.0,75.74,,2500.0,,48.65,,133.11,301.0,50.96,,5759.03,9.0,10.0,12,80.0,13.0,,326.87,0.0,232.0,,0.0,8.0,3000.0,,0.133832912727673,3.0,,175.97,5.05,8.0,230.88,453.0,0.0,26.52,8.0,,1.0,517.31,8.0,,8.0,26.52,442.0,234.0,150.96,6518.06,2500.0,315.52,442.0,39,323.0,322.73,-0.231735369185606,5.05,,252.28,1,420.0,,-25.0,8.0,,,0.0,120.0,0.0,0.0,1326.0,390.92,,0.0
57,201401,1,11.0,0.0,0.0,0.0,60.47,1626.0,31.19,,800.0,129.0,51.91,148.0,,,,55.0,800.0,5.0,5.0,10,269.0,6.0,27.7,457.67,4.0,,,8.0,,800.0,15.0,0.133832912727673,1.0,,519.1,,,218.33,,2.0,,,12.0,6.0,,,0.0,,,,,,1600.0,,,,66,298.0,276.74,0.534878115446101,,418.0,,0,1105.62,7.0,,,193.9,,,134.0,,,,135.87,63.94,
60,201405,1,90.0,0.0,1.0,1.0,46.63,624.0,,39.99,1878.36,,19.99,,51.16,,,,,,0.0,12,,0.0,,119.95,0.0,,,0.0,,1878.36,,0.133832912727673,0.0,199.97,99.97,,,,254.0,0.0,,,,0.0,255.88,,,,,,,,1878.36,1878.36,,,35,117.0,39.71,-0.30845333657335,,,,1,1656.17,,,,,,,23.0,,,,101.0,,
61,201405,1,78.0,0.0,1.0,1.0,,2125.0,,39.99,1500.0,171.0,,331.0,,1099.0,,356.0,2400.0,68.0,19.0,12,806.0,22.0,139.95,,5.0,763.0,650.0,12.0,-86.0,1500.0,43.0,0.133832912727673,3.0,39.99,,,-178.0,,,6.0,,0.0,12.0,9.0,,15.0,0.0,-269.0,,219.37,453.0,,7425.0,3643.75,219.37,219.37,29,,146.98,-0.411786729965823,,2926.0,219.37,0,470.01,4.0,-2831.0,-269.0,173.94,0.0,0.0,60.0,0.0,0.0,,363.77,0.0,0.0
63,201404,0,0.0,0.0,0.0,0.0,,276.0,,4.99,1000.0,,76.75,,,,50.57,,,,0.0,12,,0.0,,,0.0,,,0.0,,1000.0,,0.090634138151029,0.0,4.99,383.79,,,,,0.0,,,,0.0,,,,,,,,252.88,1000.0,,,,73,,,0.721630021341369,,,,1,693.97,,,,,,,80.0,,,,,,
64,201407,0,11.0,0.0,0.0,0.0,72.55,733.0,62.25,,600.0,219.0,,,53.3,,,,,,0.0,6,,0.0,73.29,362.81,0.0,,637.0,0.0,,600.0,,0.133832912727673,0.0,,,,,221.32,159.0,0.0,,,,0.0,159.92,,,,,,,,600.0,600.0,,,41,360.0,270.29,-0.133343746407103,,,,1,1117.39,3.0,,,219.88,,,188.0,,,,411.98,0.0,
65,201406,0,0.0,0.0,0.0,0.0,,694.0,,18.98,1000.0,,19.99,,38.38,174.0,,,2500.0,,0.0,6,,0.0,,,0.0,0.0,,0.0,0.0,1000.0,,0.133832912727673,0.0,37.96,19.99,,0.0,,191.0,0.0,0.0,0.0,,0.0,191.94,0.0,,0.0,0.0,207.56,174.0,,2600.0,1000.0,,207.56,71,,198.81,0.721630021341369,,,,1,562.04,,-15.0,0.0,,,0.0,24.0,0.0,0.0,415.12,250.35,,0.0
66,201403,1,28.0,0.0,0.0,0.0,39.77,995.0,17.63,,1000.0,221.0,23.32,,,747.0,,0.0,800.0,,0.0,10,,0.0,48.58,198.87,0.0,661.0,,0.0,,1000.0,0.0,0.133832912727673,0.0,,69.98,,,88.18,,7.0,,64.0,,9.0,,64.0,0.0,,,,572.0,,2160.0,2040.0,,,51,197.0,7.72,0.156301087833759,,,,0,1878.04,8.0,-16.0,,222.94,11.85,1.0,117.0,0.0,3.0,,11.62,0.0,3.0
68,201401,0,0.0,0.0,0.0,0.0,,1930.0,,,500.0,278.0,,255.0,,,,123.0,600.0,29.0,12.0,12,502.0,16.0,72.92,,12.0,,,12.0,,500.0,31.0,0.133832912727673,4.0,,,,,,,8.0,,,15.0,10.0,,,0.0,,,,,,1000.0,600.0,,,37,,230.3,-0.231735369185606,,,,0,,17.0,,,404.78,,,823.0,,,,211.3,124.88,
69,201405,0,26.0,0.0,0.0,0.0,,809.0,,53.77,500.0,329.0,,,70.96,,85.81,,1000.0,,0.0,6,,0.0,60.31,,0.0,,,0.0,,500.0,,0.133832912727673,0.0,430.16,,,,,369.0,3.0,,,,5.0,567.68,,,,,,,600.67,500.0,1500.0,,,32,,419.79,-0.354107585360257,,,,1,890.42,8.0,,,482.48,,,-41.0,,,,423.93,153.15,
70,201404,0,67.0,0.0,1.0,2.0,,226.0,71.98,61.23,1000.0,,113.63,,,,,,,,0.0,12,,0.0,,,0.0,,,0.0,,1000.0,,0.0571981886428283,0.0,209.96,274.94,,,155.97,,0.0,,,,0.0,,,,,,,,,1000.0,1000.0,,,30,,,-0.411786729965823,,,,1,1192.46,,,,,,,53.0,,,,,,
71,201407,0,0.0,0.0,0.0,0.0,15.99,4774.0,,39.99,3000.0,301.0,,,280.85,1034.0,,0.0,,51.0,27.0,12,918.0,39.0,168.47,15.99,0.0,668.0,,0.0,,3000.0,0.0,0.133832912727673,12.0,39.99,,,,,540.0,7.0,,,,11.0,546.7,-1.0,0.0,,,,1034.0,,8607.81,3000.0,,,70,15.0,225.89,0.721630021341369,,,,0,860.01,11.0,-5.0,,306.32,,0.0,47.0,0.0,0.0,,390.42,0.0,0.0
