id,safra,y,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_13,VAR_14,VAR_15,VAR_17,VAR_19,VAR_20,VAR_23,VAR_24,VAR_25,VAR_27,VAR_29,VAR_30,VAR_31,VAR_33,VAR_34,VAR_35,VAR_37,VAR_38,VAR_39,VAR_40,VAR_42,VAR_46,VAR_51,VAR_52,VAR_53,VAR_54,VAR_57,VAR_59,VAR_65,VAR_66,VAR_67,VAR_71,VAR_72,VAR_74,VAR_76,VAR_77
14,201401,0,0.0,0.0,0.0,0.0,42.15,1903.0,,,750.0,428.0,,54.97,634.0,,1200.0,14.0,12,115.95,295.05,11.0,,18.0,750.0,30.0,1.0,,,18.0,,108.0,11.0,18.0,18.0,397.0,,1500.0,1000.0,52,199.96,,14.0,-42.0,0.0,431.0,0.0,187.87,0.0
16,201402,1,167.0,6.0,2.0,2.0,,1542.0,,110.08,1500.0,345.0,10.61,,1496.0,,,5.0,12,67.85,,0.0,377.0,,1500.0,10.0,1.0,400.83,74.27,,,,10.0,244.0,244.0,751.0,,3939.54,469.77,42,144.0,376.95,8.0,-13.0,1.0,-21.0,1.0,590.43,196.97
18,201404,0,102.0,6.0,1.0,1.0,60.93,407.0,,63.88,600.0,,,,,,2067.17,0.0,12,,468.82,0.0,250.0,,600.0,,0.0,191.64,,,,,0.0,,,,,600.0,600.0,45,,430.6,,,,66.0,,,
19,201407,1,0.0,0.0,0.0,0.0,,203.0,35.32,25.98,1985.5,,32.11,,,,,0.0,12,,,0.0,,,1985.5,,0.0,25.98,224.77,,105.98,,0.0,,,,,1985.5,1985.5,51,,166.82,,,,1.0,,,
21,201406,0,15.0,0.0,0.0,0.0,,101.0,,,600.0,,74.17,,86.0,,,0.0,12,,,0.0,,-2.0,1600.0,,0.0,,593.36,-2.0,,,0.0,-2.0,-2.0,86.0,,1100.0,1100.0,27,,0.0,,-34.0,0.0,101.0,0.0,,
22,201402,1,0.0,0.0,0.0,0.0,37.55,410.0,2.97,,2500.0,,,,367.0,,5582.3,0.0,12,,262.85,0.0,,1.0,5000.0,0.0,0.0,,,0.0,2.97,,0.0,1.0,1.0,367.0,,4041.15,1541.15,68,,4800.0,,-6.0,0.0,215.0,0.0,,
23,201404,1,0.0,0.0,0.0,0.0,,3418.0,,,3000.0,127.0,,,583.0,,1006.06,41.0,12,31.98,,0.0,,2.0,3000.0,0.0,10.0,,,1.0,,,3.0,3.0,7.0,583.0,,6018.18,1006.06,44,,,4.0,-3.0,0.0,864.0,0.0,,0.0
24,201401,0,175.0,6.0,1.0,1.0,,210.0,43.99,111.95,1000.0,,,,,,,0.0,12,,,0.0,,,1000.0,,0.0,239.9,,,131.97,,0.0,,,,,2000.0,,45,,892.16,,,,37.0,,,
25,201401,0,0.0,0.0,0.0,0.0,27.99,628.0,,,2000.0,,32.28,32.09,320.0,,2000.0,0.0,12,,139.98,0.0,,17.0,2000.0,0.0,0.0,,258.24,17.0,,158.0,0.0,17.0,17.0,320.0,,4000.0,3000.0,67,25.09,1218.96,,,0.0,110.0,0.0,33.14,
26,201402,1,97.0,1.0,1.0,1.0,84.76,275.0,,58.44,1218.23,,82.41,,,,1218.23,0.0,12,,593.32,0.0,,,1218.23,,0.0,289.12,411.97,,,,0.0,,,,,2436.46,,65,,719.13,,,,-28.0,,,
27,201401,0,0.0,0.0,0.0,0.0,39.09,887.0,,,500.0,262.0,,38.49,623.0,,1848.58,0.0,5,56.73,195.45,0.0,,-1.0,1800.0,0.0,0.0,,,-1.0,,192.0,5.0,-1.0,-1.0,91.0,,3148.58,2245.74,55,327.28,,7.0,-75.0,0.0,386.0,0.0,106.74,134.49
28,201404,0,41.0,0.0,0.0,1.0,74.94,626.0,,48.29,1200.0,,36.73,102.64,,46.96,,0.0,12,,389.59,0.0,538.0,,1200.0,,0.0,386.32,257.11,,,512.0,0.0,,,,184.9,1200.0,1200.0,56,79.37,0.0,,,,-16.0,,391.66,
29,201406,0,0.0,0.0,0.0,0.0,,1302.0,,,2000.0,294.0,,59.99,838.0,,3560.0,0.0,8,133.92,,6.0,,1.0,,0.0,0.0,,,,,59.0,6.0,1.0,6.0,510.0,,2640.0,1550.0,26,166.92,,8.0,-10.0,0.0,566.0,0.0,175.65,0.0
30,201405,0,21.0,0.0,0.0,0.0,92.43,4926.0,56.97,59.58,1000.0,1172.0,63.01,124.72,674.0,23.99,,19.0,12,326.75,469.58,9.0,,,1000.0,36.0,16.0,213.9,294.9,,137.95,393.0,12.0,1.0,2.0,674.0,71.97,1700.0,2400.0,46,488.15,251.79,37.0,-12.0,0.0,41.0,0.0,697.33,0.0
33,201407,0,123.0,1.0,0.0,0.0,250.81,3975.0,93.97,177.6,2759.03,1287.0,97.97,158.93,,251.6,,39.0,12,451.83,735.76,6.0,907.0,,2759.03,,32.0,269.27,195.96,,147.96,359.0,6.0,,,,449.89,2759.03,2759.03,46,1422.43,5736.22,22.0,,,4.0,,2779.81,173.78
34,201408,0,25.0,0.0,0.0,0.0,45.82,1091.0,82.65,91.96,1000.0,682.0,56.19,87.77,,47.9,,0.0,12,148.59,245.8,0.0,627.0,,1846.82,,0.0,91.96,223.86,,578.55,217.0,8.0,,,,217.03,1000.0,1000.0,36,378.07,430.68,51.0,,,12.0,,461.27,116.53
35,201407,0,10.0,0.0,0.0,0.0,,309.0,22.97,28.26,1735.39,,3.79,,,57.45,,0.0,12,,,0.0,240.0,,1735.39,,0.0,197.82,3.79,,109.33,,0.0,,,,411.06,1735.39,1735.39,32,,945.78,,,,-42.0,,,
37,201403,0,4.0,0.0,0.0,0.0,185.28,580.0,29.69,,692.96,,43.31,37.28,252.0,,,0.0,12,,960.25,0.0,348.0,9.0,692.96,0.0,0.0,,109.97,9.0,59.38,111.0,0.0,9.0,9.0,252.0,,1202.14,1202.14,25,0.0,1545.59,,,0.0,109.0,0.0,30.68,
38,201405,0,0.0,0.0,0.0,0.0,30.68,2041.0,,,1000.0,294.0,,41.62,291.0,,2000.0,18.0,12,92.92,214.76,1.0,,-7.0,1000.0,8.0,2.0,,,-7.0,,217.0,2.0,-7.0,-7.0,291.0,,2000.0,1000.0,55,366.86,,23.0,-95.0,0.0,393.0,0.0,0.0,103.34
39,201401,1,170.0,3.0,1.0,1.0,,2653.0,,23.99,1433.11,,25.99,,146.0,,1433.11,16.0,12,,,0.0,,31.0,1433.11,0.0,3.0,119.98,51.98,31.0,,,0.0,31.0,31.0,146.0,,3224.25,358.03,32,,1534.01,,,1.0,6.0,1.0,,
40,201408,1,4.0,0.0,0.0,0.0,118.37,878.0,8.96,172.97,1200.0,683.0,127.01,77.63,878.0,101.65,6000.0,0.0,12,160.36,828.59,0.0,666.0,14.0,2400.0,0.0,0.0,1210.79,779.06,14.0,8.96,373.0,4.0,14.0,71.0,426.0,711.55,2608.04,1552.01,46,519.86,411.49,23.0,-459.0,0.0,-48.0,1.0,292.45,77.31
42,201401,0,0.0,0.0,0.0,0.0,95.96,4414.0,73.16,12.38,1000.0,1282.0,21.99,103.94,,,1000.0,86.0,12,295.19,479.82,12.0,,,1000.0,45.0,3.0,61.91,109.97,,365.86,516.0,11.0,,,,,2000.0,1000.0,69,722.08,8862.28,42.0,,,70.0,,681.45,0.0
43,201407,1,102.0,1.0,1.0,1.0,,1622.0,34.97,36.38,2000.0,,24.78,,,17.99,,5.0,12,,,6.0,,,2000.0,,1.0,181.93,123.91,,69.95,,0.0,,,,89.98,2000.0,2000.0,37,,550.51,,,,51.0,,,
44,201401,1,154.0,3.0,1.0,1.0,37.5,495.0,,,200.0,,33.91,26.99,,67.62,200.0,0.0,6,,225.09,0.0,,,200.0,,0.0,,237.37,,,127.0,0.0,,,,270.48,400.0,,32,,459.17,,,,69.0,,,
45,201405,0,0.0,0.0,0.0,0.0,139.96,1793.0,15.12,29.16,700.0,740.0,68.55,58.2,1249.0,66.96,,10.0,6,161.42,671.91,10.0,,,700.0,44.0,1.0,116.7,262.89,,30.25,224.0,12.0,,-3.0,850.0,440.78,4208.39,1519.54,35,408.5,575.58,75.0,-25.0,0.0,27.0,0.0,372.25,0.0
46,201402,0,48.0,0.0,0.0,1.0,59.96,2157.0,,,1000.0,140.0,,139.66,502.0,70.29,2400.0,9.0,10,67.62,99.94,0.0,134.0,9.0,1000.0,0.0,7.0,,,8.0,,388.0,1.0,9.0,9.0,502.0,312.09,3600.0,,41,263.98,709.7,6.0,-9.0,0.0,254.0,0.0,290.57,0.0
50,201406,0,0.0,0.0,0.0,0.0,,1840.0,70.98,,1000.0,241.0,,,,,1593.0,1.0,12,46.52,,0.0,,,1000.0,,1.0,,,,141.96,,2.0,,,,,1000.0,1000.0,30,279.71,,8.0,,,237.0,,49.21,130.27
51,201406,0,26.0,0.0,0.0,0.0,140.33,1016.0,,46.4,1692.0,712.0,93.56,127.92,271.0,50.13,,0.0,10,203.49,653.86,0.0,230.0,10.0,4116.0,,0.0,232.0,291.88,10.0,,461.0,8.0,10.0,10.0,271.0,217.36,3292.0,1692.0,42,361.63,164.36,35.0,-1.0,0.0,49.0,0.0,653.48,0.0
52,201405,0,0.0,0.0,0.0,0.0,104.1,875.0,,50.0,2300.0,42.0,53.93,39.18,369.0,,4000.0,0.0,12,42.5,104.1,0.0,,79.0,2300.0,0.0,0.0,50.0,377.51,79.0,,202.0,1.0,79.0,79.0,369.0,,6300.0,10600.0,57,43.53,50.03,1.0,-620.0,4.0,32.0,4.0,87.06,0.0
53,201401,1,179.0,6.0,1.0,2.0,105.69,2944.0,29.33,66.52,1300.0,137.0,23.36,67.25,368.0,21.8,2300.0,17.0,10,37.51,489.02,0.0,,58.0,1300.0,0.0,4.0,190.93,116.83,58.0,71.0,299.0,1.0,58.0,58.0,368.0,109.0,3100.0,,31,227.72,557.43,8.0,-5.0,9.0,-43.0,9.0,673.6,0.0
54,201405,0,21.0,0.0,0.0,0.0,121.81,1378.0,50.91,47.97,1000.0,,,76.63,424.0,38.7,2500.0,0.0,4,,468.99,4.0,278.0,19.0,2000.0,21.0,0.0,67.97,,19.0,299.65,228.0,0.0,19.0,19.0,203.0,77.4,5500.0,2500.0,46,0.0,625.86,,-24.0,0.0,13.0,0.0,81.44,
55,201409,1,0.0,0.0,0.0,0.0,115.11,2692.0,75.74,,2500.0,,48.65,133.11,301.0,50.96,5759.03,10.0,12,,326.87,0.0,,8.0,3000.0,,3.0,,175.97,8.0,230.88,453.0,0.0,8.0,8.0,234.0,150.96,6518.06,2500.0,39,322.73,420.0,,-25.0,0.0,120.0,0.0,390.92,
57,201401,1,11.0,0.0,0.0,0.0,60.47,1626.0,31.19,,800.0,129.0,51.91,,,,800.0,5.0,10,27.7,457.67,4.0,,,800.0,15.0,1.0,,519.1,,218.33,,2.0,,,,,1600.0,,66,276.74,1105.62,7.0,,,134.0,,135.87,63.94
60,201405,1,90.0,0.0,1.0,1.0,46.63,624.0,,39.99,1878.36,,19.99,51.16,,,,0.0,12,,119.95,0.0,,,1878.36,,0.0,199.97,99.97,,,254.0,0.0,,,,,1878.36,1878.36,35,39.71,1656.17,,,,23.0,,101.0,
61,201405,1,78.0,0.0,1.0,1.0,,2125.0,,39.99,1500.0,171.0,,,1099.0,,2400.0,19.0,12,139.95,,5.0,650.0,-86.0,1500.0,43.0,3.0,39.99,,-178.0,,,6.0,0.0,15.0,453.0,,7425.0,3643.75,29,146.98,470.01,4.0,-2831.0,0.0,60.0,0.0,363.77,0.0
63,201404,0,0.0,0.0,0.0,0.0,,276.0,,4.99,1000.0,,76.75,,,50.57,,0.0,12,,,0.0,,,1000.0,,0.0,4.99,383.79,,,,0.0,,,,252.88,1000.0,,73,,693.97,,,,80.0,,,
64,201407,0,11.0,0.0,0.0,0.0,72.55,733.0,62.25,,600.0,219.0,,53.3,,,,0.0,6,73.29,362.81,0.0,637.0,,600.0,,0.0,,,,221.32,159.0,0.0,,,,,600.0,600.0,41,270.29,1117.39,3.0,,,188.0,,411.98,0.0
65,201406,0,0.0,0.0,0.0,0.0,,694.0,,18.98,1000.0,,19.99,38.38,174.0,,2500.0,0.0,6,,,0.0,,0.0,1000.0,,0.0,37.96,19.99,0.0,,191.0,0.0,0.0,0.0,174.0,,2600.0,1000.0,71,198.81,562.04,,-15.0,0.0,24.0,0.0,250.35,
66,201403,1,28.0,0.0,0.0,0.0,39.77,995.0,17.63,,1000.0,221.0,23.32,,747.0,,800.0,0.0,10,48.58,198.87,0.0,,,1000.0,0.0,0.0,,69.98,,88.18,,7.0,64.0,64.0,572.0,,2160.0,2040.0,51,7.72,1878.04,8.0,-16.0,1.0,117.0,3.0,11.62,0.0
68,201401,0,0.0,0.0,0.0,0.0,,1930.0,,,500.0,278.0,,,,,600.0,12.0,12,72.92,,12.0,,,500.0,31.0,4.0,,,,,,8.0,,,,,1000.0,600.0,37,230.3,,17.0,,,823.0,,211.3,124.88
69,201405,0,26.0,0.0,0.0,0.0,,809.0,,53.77,500.0,329.0,,70.96,,85.81,1000.0,0.0,6,60.31,,0.0,,,500.0,,0.0,430.16,,,,369.0,3.0,,,,600.67,500.0,1500.0,32,419.79,890.42,8.0,,,-41.0,,423.93,153.15
70,201404,0,67.0,0.0,1.0,2.0,,226.0,71.98,61.23,1000.0,,113.63,,,,,0.0,12,,,0.0,,,1000.0,,0.0,209.96,274.94,,155.97,,0.0,,,,,1000.0,1000.0,30,,1192.46,,,,53.0,,,
71,201407,0,0.0,0.0,0.0,0.0,15.99,4774.0,,39.99,3000.0,301.0,,280.85,1034.0,,,27.0,12,168.47,15.99,0.0,,,3000.0,0.0,12.0,39.99,,,,540.0,7.0,,-1.0,1034.0,,8607.81,3000.0,70,225.89,860.01,11.0,-5.0,0.0,47.0,0.0,390.42,0.0
73,201402,0,56.0,0.0,0.0,5.0,86.12,461.0,,44.56,819.0,,19.99,,,,1050.0,0.0,12,,314.83,0.0,,,819.0,,0.0,311.92,39.99,,,,0.0,,,,,1638.0,,71,,648.09,,,,-6.0,,,
74,201408,0,64.0,0.0,1.0,5.0,,3287.0,,,1960.3,672.0,,25.13,,,,13.0,12,269.6,,2.0,422.0,,3920.6,,13.0,,,,,175.0,4.0,,,,,1960.3,3920.6,35,604.08,,18.0,,,587.0,,881.22,271.93
75,201402,1,87.0,0.0,1.0,1.0,,876.0,,66.14,2668.0,231.0,,11.49,937.0,,,0.0,12,28.98,,0.0,,-3.0,2668.0,0.0,0.0,529.12,,-6.0,,22.0,4.0,-3.0,10.0,359.0,,9775.51,4000.0,38,170.23,,8.0,-660.0,0.0,-55.0,0.0,133.48,0.0
76,201409,0,14.0,0.0,0.0,0.0,43.18,635.0,,,791.06,,,51.98,,89.56,2291.06,0.0,12,,215.94,0.0,43.0,,3082.12,,0.0,,,,,259.0,0.0,,,,653.28,,791.06,35,139.85,981.26,,,,190.0,,193.89,
77,201408,1,107.0,1.0,1.0,1.0,,341.0,76.16,22.38,390.0,,,,,32.58,390.0,0.0,5,,,0.0,,,390.0,,0.0,81.96,,,260.9,,0.0,,,,117.76,,390.0,31,,1565.61,,,,28.0,,,
79,201402,0,37.0,0.0,0.0,4.0,83.1,1206.0,,154.14,1000.0,300.0,,59.08,1106.0,19.25,3900.0,0.0,12,63.51,386.86,1.0,,4.0,2250.0,0.0,0.0,912.96,,4.0,,307.0,12.0,4.0,4.0,370.0,57.77,5703.54,4710.01,45,426.8,764.16,22.0,-99.0,0.0,-12.0,0.0,368.73,149.7
80,201405,0,0.0,0.0,0.0,0.0,,1406.0,,,1000.0,220.0,,63.72,503.0,,3500.0,0.0,12,84.85,,6.0,,1.0,1000.0,10.0,0.0,,,1.0,,254.0,10.0,1.0,1.0,503.0,,1000.0,2000.0,44,141.85,,8.0,-39.0,0.0,644.0,0.0,212.77,0.0
81,201401,0,55.0,0.0,0.0,1.0,,4632.0,,103.97,900.0,108.0,26.79,,1284.0,,,48.0,12,32.48,,9.0,711.0,,900.0,8.0,22.0,509.56,133.97,,,,10.0,,,1087.0,,1800.0,,69,324.16,5315.31,6.0,,0.0,-45.0,0.0,112.84,0.0
82,201408,0,34.0,0.0,0.0,1.0,,1045.0,105.3,,1000.0,409.0,98.73,57.4,332.0,79.98,2825.46,0.0,6,81.98,,0.0,464.0,4.0,3049.46,,0.0,,394.92,4.0,367.93,291.0,5.0,4.0,4.0,77.0,159.97,4549.46,1500.0,32,199.71,508.99,10.0,-188.0,0.0,96.0,0.0,153.4,0.0
83,201404,0,80.0,0.0,1.0,1.0,,1004.0,83.45,36.23,400.0,466.0,91.27,43.99,,56.0,,0.0,10,93.22,,0.0,729.0,,400.0,,0.0,168.16,456.43,,333.82,219.0,4.0,,,,280.0,400.0,400.0,32,485.65,308.3,10.0,,,47.0,,754.02,0.0
84,201407,0,6.0,0.0,0.0,0.0,41.58,1068.0,,,1500.0,197.0,0.99,149.85,282.0,88.27,,0.0,12,50.49,207.93,0.0,778.0,-1.0,4500.0,,0.0,,0.99,-1.0,,855.0,9.0,-1.0,-1.0,282.0,617.89,4500.0,1500.0,55,27.24,2218.19,11.0,-1062.0,0.0,100.0,0.0,78.9,64.45
85,201404,0,49.0,0.0,0.0,1.0,,706.0,,69.99,600.0,,35.99,128.51,,,,0.0,10,,,0.0,421.0,,600.0,,0.0,139.98,71.98,,,480.0,0.0,,,,,600.0,600.0,31,282.71,2842.2,,,,21.0,,291.7,
86,201402,1,158.0,6.0,2.0,2.0,56.36,875.0,33.18,,500.0,308.0,,54.45,294.0,27.99,500.0,0.0,12,114.25,132.93,0.0,,21.0,500.0,0.0,0.0,,,21.0,117.95,189.0,3.0,21.0,21.0,294.0,139.97,1320.0,320.0,32,174.62,1430.85,15.0,-2.0,1.0,224.0,1.0,539.62,0.0
87,201408,0,23.0,0.0,0.0,0.0,126.61,2444.0,63.69,85.95,1200.0,390.0,52.98,118.78,1330.0,,,29.0,12,121.47,419.85,11.0,,4.0,2700.0,10.0,2.0,495.02,98.96,4.0,370.89,466.0,10.0,4.0,4.0,245.0,,6446.4,3200.0,68,307.95,5113.63,16.0,-1223.0,0.0,13.0,0.0,409.29,0.0
88,201404,0,4.0,0.0,0.0,0.0,91.28,999.0,15.99,,713.41,106.0,14.0,98.1,1398.0,,3000.0,0.0,12,38.04,638.96,0.0,740.0,2.0,713.41,0.0,0.0,,14.0,2.0,15.99,417.0,8.0,2.0,30.0,367.0,,2913.41,713.41,68,159.32,1566.0,11.0,-30.0,0.0,101.0,1.0,150.11,28.44
89,201404,0,21.0,0.0,0.0,0.0,,684.0,17.97,44.87,800.0,278.0,11.21,53.13,,53.5,,0.0,12,56.87,,0.0,527.0,,1600.0,,0.0,314.09,78.47,,143.76,259.0,0.0,,,,374.54,800.0,800.0,45,273.89,558.34,7.0,,,-76.0,,281.64,119.15
90,201402,1,159.0,3.0,2.0,2.0,,191.0,62.19,71.81,2500.0,,19.32,,21.0,,1900.0,0.0,12,,,0.0,,,6900.0,,0.0,446.67,57.96,,246.01,,0.0,,,17.0,,8800.0,,25,,266.44,,,0.0,-20.0,0.0,,
92,201407,0,0.0,0.0,0.0,0.0,39.13,553.0,4.99,,800.0,,,38.22,,51.92,,0.0,8,,117.95,0.0,,,800.0,,0.0,,,,4.99,203.0,0.0,,,,288.37,800.0,800.0,31,0.0,,,,,219.0,,45.11,
93,201409,0,19.0,0.0,0.0,0.0,,3515.0,,55.07,1500.0,548.0,278.57,,860.0,,3300.0,52.0,12,183.62,,9.0,900.0,18.0,3000.0,40.0,13.0,385.49,835.74,18.0,,,7.0,18.0,18.0,182.0,,2400.0,6600.0,54,257.36,1245.11,18.0,-2661.0,1.0,67.0,1.0,260.0,28.91
95,201408,1,6.0,0.0,0.0,0.0,304.31,565.0,114.28,36.49,800.0,,49.96,125.25,,112.76,,0.0,12,,635.3,0.0,,,1600.0,,0.0,82.75,59.96,,423.87,290.0,0.0,,,,255.88,800.0,800.0,36,0.0,1321.3,,,,-18.0,,102.18,
96,201408,0,51.0,0.0,0.0,1.0,56.18,604.0,,75.51,1042.07,,34.79,79.88,,89.35,,0.0,12,,393.26,0.0,,,1042.07,,0.0,454.14,173.96,,,171.0,0.0,,,,714.8,1042.07,2084.14,29,45.89,1075.05,,,,-14.0,,88.9,
97,201407,0,21.0,0.0,0.0,0.0,143.61,1378.0,88.96,64.36,1000.0,280.0,80.46,124.61,1169.0,44.98,500.0,0.0,6,110.95,400.89,8.0,831.0,,1700.0,0.0,0.0,232.57,222.93,,225.93,312.0,9.0,4.0,9.0,611.0,119.96,2200.0,1600.0,47,211.64,473.12,13.0,,0.0,34.0,0.0,766.36,0.0
99,201407,0,11.0,0.0,0.0,0.0,35.84,3009.0,,,1000.0,918.0,,92.76,510.0,,1000.0,38.0,3,187.4,286.72,3.0,884.0,0.0,1000.0,0.0,1.0,,,0.0,,461.0,12.0,0.0,0.0,510.0,,1000.0,1500.0,46,770.8,,27.0,-91.0,0.0,450.0,0.0,1479.47,192.0
100,201405,0,0.0,0.0,0.0,0.0,12.71,292.0,,,700.0,,20.99,,,,,0.0,12,,101.68,0.0,,,700.0,,0.0,,41.98,,,,0.0,,,,,700.0,700.0,45,,1487.29,,,,147.0,,,
102,201402,0,19.0,0.0,0.0,0.0,,707.0,,43.31,150.0,,,203.34,,95.29,,0.0,6,,,0.0,502.0,,150.0,,0.0,129.95,,,,281.0,0.0,,,,285.89,300.0,,35,161.7,,,,,27.0,,779.17,
104,201401,1,179.0,3.0,1.0,2.0,131.99,529.0,75.98,50.78,1291.73,,21.68,,,,1291.73,0.0,12,,459.99,0.0,,,1291.73,,0.0,253.91,43.37,,75.98,,0.0,,,,,2583.46,,48,,1214.48,,,,1.0,,,
105,201408,1,28.0,0.0,0.0,0.0,,165.0,,34.29,800.0,,43.45,,,,,0.0,12,,,0.0,,,1600.0,,0.0,274.32,108.76,,,,0.0,,,,,800.0,800.0,30,,336.74,,,,-49.0,,,
106,201401,0,0.0,0.0,0.0,0.0,,223.0,26.63,28.95,260.0,,52.47,,,,,0.0,6,,,0.0,,,260.0,,0.0,64.93,205.94,,133.16,,0.0,,,,,520.0,,37,,2111.95,,,,4.0,,,
107,201402,0,0.0,0.0,0.0,0.0,,1655.0,,,1000.0,499.0,,65.47,,,,6.0,12,183.18,,10.0,,,1000.0,12.0,1.0,,,,,261.0,11.0,,,,,3000.0,,55,372.41,,11.0,,,700.0,,341.51,0.0
108,201405,0,24.0,0.0,0.0,0.0,,641.0,27.32,,1550.0,,245.91,111.29,,39.99,,0.0,12,,,0.0,466.0,,1550.0,,0.0,,492.88,,81.97,453.0,0.0,,,,39.99,1550.0,1550.0,52,51.85,2032.18,,,,119.0,,105.54,
109,201407,1,19.0,0.0,0.0,0.0,,217.0,76.97,32.6,800.0,,19.79,,,,,0.0,12,,,0.0,,,800.0,,0.0,163.0,98.99,,384.9,,0.0,,,,,800.0,800.0,44,,132.5,,,,78.0,,,
110,201406,1,11.0,0.0,0.0,0.0,,244.0,143.51,80.89,1500.0,,16.86,,,,,0.0,12,,,0.0,143.0,,1500.0,,0.0,606.18,118.02,,629.75,,0.0,,,,,1500.0,1500.0,62,,484.75,,,,-77.0,,,
111,201406,0,4.0,0.0,0.0,0.0,,683.0,,62.39,1000.0,118.0,20.74,72.42,,,,0.0,12,26.4,,0.0,515.0,,1000.0,,0.0,257.95,145.18,,,262.0,0.0,,,,,1000.0,1000.0,55,256.26,462.62,7.0,,,14.0,,48.85,65.81
113,201407,0,28.0,0.0,0.0,0.0,145.29,1170.0,101.97,36.56,1000.0,604.0,102.77,63.37,974.0,,2000.0,0.0,12,118.48,1014.45,2.0,795.0,12.0,1000.0,0.0,0.0,105.64,885.53,12.0,449.92,223.0,9.0,12.0,12.0,396.0,,3803.87,2601.29,49,315.54,0.0,29.0,-15.0,0.0,14.0,0.0,367.66,163.72
